x,y,z
-9.00056,-5.98801,31.0714
-8.69824,-5.67126,30.7626
-8.39647,-5.3942,30.4194
-8.09897,-5.15699,30.048
-7.80912,-4.959,29.654
-7.52986,-4.79899,29.2426
-7.26372,-4.67527,28.8186
-7.01281,-4.58587,28.3862
-6.77884,-4.52866,27.949
-6.56316,-4.50148,27.5106
-6.36679,-4.50218,27.0736
-6.19044,-4.52875,26.6407
-6.03457,-4.57931,26.2142
-5.89944,-4.65217,25.7959
-5.78512,-4.74586,25.3879
-5.69154,-4.85909,24.9916
-5.61856,-4.99081,24.6086
-5.5659,-5.14011,24.2404
-5.53329,-5.30631,23.8884
-5.52039,-5.48884,23.554
-5.52686,-5.68727,23.2387
-5.55236,-5.9013,22.9438
-5.59654,-6.13065,22.6708
-5.65907,-6.37511,22.4214
-5.73964,-6.63446,22.1971
-5.83794,-6.90845,21.9998
-5.95364,-7.19675,21.8311
-6.08645,-7.49889,21.693
-6.23601,-7.81427,21.5876
-6.40197,-8.14204,21.517
-6.58387,-8.48109,21.4833
-6.78122,-8.82998,21.4887
-6.9934,-9.1869,21.5355
-7.21965,-9.54959,21.6258
-7.45905,-9.91529,21.7617
-7.71049,-10.2807,21.9449
-7.9726,-10.642,22.1771
-8.24378,-10.9948,22.4593
-8.52211,-11.3339,22.7921
-8.80534,-11.6538,23.1753
-9.09088,-11.9484,23.6079
-9.37579,-12.2112,24.0878
